pays,zip,city,id
FR,01400,ABERGEMENT CLEMENCIAT L,dom_cities_1
FR,01640,ABERGEMENT DEVAREY L,dom_cities_2
FR,01500,AMBERIEU EN BUGEY,dom_cities_3
FR,01330,AMBERIEUX ENDOMBES,dom_cities_4
FR,01300,AMBLEON,dom_cities_5
FR,01500,AMBRONAY,dom_cities_6
FR,01500,AMBUTRIX,dom_cities_7
FR,01300,ANDERT ET CONDON,dom_cities_8
FR,01350,ANGLEFORT,dom_cities_9
FR,01100,APREMONT,dom_cities_10
FR,01110,ARANC,dom_cities_11
FR,01230,ARANDAS,dom_cities_12
FR,01100,ARBENT,dom_cities_13
FR,01300,ARBIGNIEU,dom_cities_14
FR,01190,ARBIGNY,dom_cities_15
FR,01230,ARGIS,dom_cities_16
FR,01510,ARMIX,dom_cities_17
FR,01480,ARS SUR FORMANS,dom_cities_18
FR,01510,ARTEMARE,dom_cities_19
FR,01570,ASNIERES SURSAONE,dom_cities_20
FR,01340,ATTIGNAT,dom_cities_21
FR,01380,BAGE LA VILLE,dom_cities_22
FR,01380,BAGE LE CHATEL,dom_cities_23
FR,01360,BALAN,dom_cities_24
FR,01990,BANEINS,dom_cities_25
FR,01270,BEAUPONT,dom_cities_26
FR,01480,BEAUREGARD,dom_cities_27
FR,01360,BELIGNEUX,dom_cities_28
FR,01200,BELLEGARDE SUR VALSERINE,dom_cities_29
FR,01300,BELLEY,dom_cities_30
FR,01130,BELLEYDOUX,dom_cities_31
FR,01100,BELLIGNAT,dom_cities_32
FR,01260,BELMONT LUTHEZIEU,dom_cities_33
FR,01470,BENONCES,dom_cities_34
FR,01370,BENY,dom_cities_35
FR,01350,BEON,dom_cities_36
FR,01340,BEREZIAT,dom_cities_37
FR,01500,BETTANT,dom_cities_38
FR,01290,BEY,dom_cities_39
FR,01700,BEYNOST,dom_cities_40
FR,01200,BILLIAT,dom_cities_41
FR,01330,BIRIEUX,dom_cities_42
FR,01290,BIZIAT,dom_cities_43
FR,01150,BLYES,dom_cities_44
FR,01250,BOHAS MEYRIATRIGNAT,dom_cities_45
FR,01120,BOISSE LA,dom_cities_46
FR,01380,BOISSEY,dom_cities_47
FR,01450,BOLOZON,dom_cities_48
FR,01330,BOULIGNEUX,dom_cities_49
FR,01000,BOURG EN BRESSE,dom_cities_50
FR,01800,BOURG ST CHRISTOPHE,dom_cities_51
FR,01640,BOYEUX ST JEROME,dom_cities_52
FR,01190,BOZ,dom_cities_53
FR,01300,BREGNIER CORDON,dom_cities_54
FR,01260,BRENAZ,dom_cities_55
FR,01110,BRENOD,dom_cities_56
FR,01300,BRENS,dom_cities_57
FR,01360,BRESSOLLES,dom_cities_58
FR,01460,BRION,dom_cities_59
FR,01470,BRIORD,dom_cities_60
FR,01310,BUELLAS,dom_cities_61
FR,01510,BURBANCHE LA,dom_cities_62
FR,01430,CEIGNES,dom_cities_63
FR,01450,CERDON,dom_cities_64
FR,01240,CERTINES,dom_cities_65
FR,01170,CESSY,dom_cities_66
FR,01250,CEYZERIAT,dom_cities_67
