id,name,description,classification,emballage
dom_classification_onu_1,0000,MARCHANDISES EMBALLEES EN QUANTITE LIMITEE,XX,
dom_classification_onu_2,0012,CARTOUCHES A PROJECTILE INERTE POUR ARME OU CARTOUCHE POUR ARMES DE PETIT CALIBRE,1.4S,
dom_classification_onu_3,0014,CARTOUCHES A BLANC POUR ARMES ou CARTOUCHES A BLANC POUR ARMES DE PETIT CALIBRE ou CARTOUCHES A BLANC POUR OUTILS,1.4S,
dom_classification_onu_4,1001,ACÉTYLÈNE DISSOUS,4F,
dom_classification_onu_5,1002,AIR COMPRIMÉ,1A,
dom_classification_onu_6,1006,ARGON COMPRIMÉ,1A,
dom_classification_onu_7,1009,BROMOTRIFLUORO-MÉTHANE (GAZ RÉFRIGÉRANT R 13B1),2A,
dom_classification_onu_8,1013,DIOXYDE DE CARBONE,2A,
dom_classification_onu_9,1018,CHLORODIFLUORO-MÉTHANE (GAZ RÉFRIGÉRANT R 22),2A,
dom_classification_onu_10,1020,CHLOROPENTAFLUOR-ÉTHANE (GAZ RÉFRIGÉRANT R 115),2A,
dom_classification_onu_11,1021,CHLORO-1 TÉTRAFLUORO-1222 ÉTHANE (GAZ RÉFRIGÉRANT R 124),2A,
dom_classification_onu_12,1022,CHLOROTRIFLUORO-MÉTHANE (GAZ RÉFRIGÉRANT R 13),2A,
dom_classification_onu_13,1028,DICHLORODIFLUORO-MÉTHANE (GAZ RÉFRIGÉRANT R 12),2A,
dom_classification_onu_14,1029,DICHLOROFLUORO-MÉTHANE (GAZ RÉFRIGÉRANT R 21),2A,
dom_classification_onu_15,1043,ENGRAIS EN SOLUTION contenant de l'ammoniac non combiné,4A,
dom_classification_onu_16,1044,EXTINCTEURS contenant un gaz comprimé ou liquéfié,6A,
dom_classification_onu_17,1046,HÉLIUM COMPRIMÉ,1A,
dom_classification_onu_18,1056,KRYPTON COMPRIMÉ,1A,
dom_classification_onu_19,1057,BRIQUETS,6F,
dom_classification_onu_20,1057,RECHARGES POUR BRIQUETS,6F,
dom_classification_onu_21,1058,GAZ LIQUÉFIÉS ininflammables additionnés d'azote de dioxyde de carbone ou d'air,2A,
dom_classification_onu_22,1065,NÉON COMPRIMÉ,1A,
dom_classification_onu_23,1066,AZOTE COMPRIMÉ,1A,
dom_classification_onu_24,1072,OXYGÈNE COMPRIMÉ,1O,
dom_classification_onu_25,1078,GAZ FRIGORIFIQUE N.S.A. (GAS RÉFRIGÉRANT N.S.A.) comme le mélange F1 le mélange F2 le mélange F3,2A,
dom_classification_onu_26,1080,HEXAFLUORURE DE SOUFRE,2A,
dom_classification_onu_27,1088,ACÉTAL,F1,2
dom_classification_onu_28,1090,ACÉTONE,F1,2
dom_classification_onu_29,1091,HUILES D'ACÉTONE,F1,2
dom_classification_onu_30,1104,ACÉTATES D'AMYLE,F1,3
dom_classification_onu_31,1105,PENTANOLS,F1,2
dom_classification_onu_32,1105,PENTANOLS,F1,3
dom_classification_onu_33,1106,AMYLAMINES,FC,2
dom_classification_onu_34,1106,AMYLAMINES,FC,3
dom_classification_onu_35,1107,CHLORURES D'AMYLE,F1,2
dom_classification_onu_36,1109,FORMIATES D'AMYLE,F1,3
dom_classification_onu_37,1110,n-AMYLMÉTHYLCÉTONE,F1,3
dom_classification_onu_38,1111,MERCAPTAN AMYLIQUE,F1,2
dom_classification_onu_39,1112,NITRATES D'AMYLE,F1,3
dom_classification_onu_40,1113,NITRITES D'AMYLE,F1,2
dom_classification_onu_41,1114,BENZÈNE,F1,2
dom_classification_onu_42,1120,BUTANOLS,F1,2
dom_classification_onu_43,1120,BUTANOLS,F1,3
dom_classification_onu_44,1123,ACÉTATES DE BUTYLE,F1,2
dom_classification_onu_45,1123,ACÉTATES DE BUTYLE,F1,3
dom_classification_onu_46,1125,n-BUTYLAMINE,FC,2
dom_classification_onu_47,1126,1-BROMOBUTANE,F1,2
dom_classification_onu_48,1127,CHLOROBUTANES,F1,2
dom_classification_onu_49,1128,FORMIATE DE n-BUTYLE,F1,2
dom_classification_onu_50,1129,BUTYRALDÉHYDE,F1,2
dom_classification_onu_51,1130,HUILE DE CAMPHRE,F1,3
dom_classification_onu_52,1133,ADHÉSIFS contenant un liquide inflammable,F1,1
dom_classification_onu_53,1133,ADHÉSIFS contenant un liquide inflammable,F1,3
