name;phone_office;phone_fax;CORRESPONDANT;REGLEMENT;FAMILLE;PRODUIT;billing_address_street;billing_address_city;billing_address_postalcode;billing_address_country;rating;;phone_alternate;website;ownership;employees;ticker_symbol;portable_c
RSI DES ALPES;811,012,012;;;;SOCIAL;;centre RAM 17 av Doyen Louis Weil;Grenoble CEDEX 01;38061;;;;;;;;;
SIE CHAMBERY;04 79 60 29 52;04 79 85 26 70;;;SERVICE GENERAUX;;51 Ave de bassens;CHAMBERY CEDEX;73018;;;;;;;;;
BARCLAYS;;;;;FINANCE;;;;;;;;;;;;;06 10 30 36 42
KGS France;03 80 49 76 65;03 80 70 90 14;Elisabeth GRESS;VI15;PARTENAIRE;CALE;ZAE Cap Nord 8 rue de Bastogne;ST APPOLINAIRE;21,850;France;;;;www.kgsdiamond.com;;;;
ALAIN BARNIER;04 76 06 02 05;04 76 55 35 52;;;RECEPTION;;120, route de Saint Aupre  ;Saint Etienne de Crossey;38960;;;;;;;;;06 08 32 87 44
DB SCHENKER;04 79 85 00 15;04 79 70 39 35;;;TRANSPORT;;1 chemin de Leschaux;BARBERAZ;73000;France;;;;;;;;
MEDERIC;01 30 44 40 40;01 30 44 48 88;;;SOCIAL;;4 RUE DE LA REDOUTE;Guyancourt cedex;78,288;France;;;;;;;;
ORANGE BUSINESS SERVICES;0 825 000 706;0 825 376 057;;;SERVICE GENERAUX;;MEB 59;BLOIS CEDEX 9;41,913;;;;;orange-bussiness.com;;;;
ALPES MANUTENTION;04 79 71 68 34;04 79 71 67 72;;;SERVICE GENERAUX;;PAEdu Terraillet;SAINT BALDOPH;73190;France;;;;;;;;
LITHOFIN;00 49 702 494 0329;00 49 702 494 0340;Manuela MAGIN;V120;PARTENAIRE;LITHOFIN;Postfach 1134 Heinrich Otto Str 42;WENDLINGEN;73240;Allemagne;;;;;;;;
BUREAU DE CONTROLE VTR;;04 79 35  66 34;;;SERVICE GENERAUX;;;DRUMETTAZ  CLARAFOND;;;;;;;;;;06 01 93 70 99
BSO;04 79 65 22 85;04 79 65 21 83;;;SERVICE GENERAUX;;Alpespace 147 rue Paul Emile Victor ;STE HELENE DU LAC;73800;;;;;www.bso-savoie.com;;;;
JEAN ARBET;04 79 96 10 04;04 79 62 62 72;;;SERVICE GENERAUX;;30 avenue Henri Bordeaux;COGNIN;73160;;;;;www.jean-arbet.com;;;;
OTTO CHEMIE;+49 86 84 908 525;+49 86 84 908 549;Iuliana ESTERBAUER;VI02;PARTENAIRE;OTTO;Krankenhausstr. 14;FRIDOLFING;83413;Allemagne;;;;www.otto-chemie.com;;;;
SCAVI;04 79 69 00 26;;;;SERVICE GENERAUX;;ZA La Forêt rue de la Fabrique;COGNIN;73160;;;;;;;;;
PELLICANO;04 79 85 76 35;;;;SERVICE GENERAUX;;;;;;;;;;;;;
PACKING DISPATCH;04 79 70 35 44;04 79 85 24 33;M. Roland OUKOLOFF;VI03;CONSO_EMB.;;;ST ALBAN EN LEYSSE;73;;;;;;;;;
PITNEY BOWES SECAP;0 825 850 825;0 825 850 823;;;SERVICE GENERAUX;;9, rue Paul Lafargue Immeuble Le Triangle  ;Saint-Denis La Plaine Cedex ;93217;France;;;;;;;;
CAPTIVEA;04 82 53 02 35;0 972 238 043 ;;;SERVICE GENERAUX;;Batiment Le Signal 159 Allée Albert Sylvestre;CHAMBERY;73000;France;;;;http://www.captivea.fr;;;;06 88 32 70 09
SCP CHAPPUIS GEIGER LE MOING;04 79 33 53 18;04 79 33 19 53;;;CONSEIL;;60 Rue Jean Monne - BP 329;CHAMBERY;73000;France;;;04 79 33 47 50;;;;;06 16 01 15 55
MMA;04 79 62 61 14;04 79 62 60 87;;;SERVICE GENERAUX;;93 Quai des Allobroges BP 717;CHAMBERY CEDEX;73007;;;;;;;;;06 03 81 55 91
BROUX INCENDIE;04 50 27 25 49;04 50 27 26 90;;;SERVICE GENERAUX;;ZAC du Pré Vaurien 293 rue des Merisiers;PRINGY;74370;France;;;;www.broux.fr;;;;
GREFFE DU TRIBUNAL DE COMMERCE DE CHAMBERY;;;;;SERVICE GENERAUX;;Palais de Justice;CHAMBERY CEDEX;73,026;France;;;;www.infogreffe.fr;;;;
AI VIGNETTI;00 39 0376 808 065;00 39 0376 808065;;;RECEPTION;;;PONTI SUL MINCIO;;Italie;;;;;;;;
MYOSOTIS;04 79 37 00 38 ;04 79 32 31 85;;;SERVICE GENERAUX;;;ALBERTVILLE;73;;;;;www.elite-info.com;;;;
VANDAMME MARC;09 54 44 74 24;;;;COMMUNICATION ;;;;;;;;;;;;;06 83 88 24 65
KILOUTOU;04 79 68 52 52;04 79 68 52 53;;;SERVICE GENERAUX;;;;;;;;;;;;;
AFFICHES-TOI;04 79 60 46 47;04 79 60 84 85;;;COMMUNICATION ;;ZI de la Trousse 358 rue Aristide Bergès;LA RAVOIRE;73490;France;;;04 79 60 84 84;www.affichestoi.com;;;;06 20 72 01 02
SAGANEO;04 79 84 75 89;04 79 75 64 53;;;SERVICE GENERAUX;;;;;;;;;;;;;06 70 77 72 71
CADHOC;04 72 81 61 14;04 72 81 48 80;;;SOCIAL;;;;;;;;;cadhoc.com;;;;
